"team";"opponents";"round";"kickoff_time";"team_h_score";"team_a_score"
"Brentford";"Arsenal";1;"2021-08-13T19:00:00Z";2;0
"Man United";"Leeds";1;"2021-08-14T11:30:00Z";5;1
"Burnley";"Brighton";1;"2021-08-14T14:00:00Z";1;2
"Chelsea";"Crystal Palace";1;"2021-08-14T14:00:00Z";3;0
"Everton";"Southampton";1;"2021-08-14T14:00:00Z";3;1
"Leicester";"Wolves";1;"2021-08-14T14:00:00Z";1;0
"Watford";"Aston Villa";1;"2021-08-14T14:00:00Z";3;2
"Norwich";"Liverpool";1;"2021-08-14T16:30:00Z";0;3
"Newcastle";"West Ham";1;"2021-08-15T13:00:00Z";2;4
"Tottenham";"Man City";1;"2021-08-15T15:30:00Z";1;0
"Liverpool";"Burnley";2;"2021-08-21T11:30:00Z";2;0
"Aston Villa";"Newcastle";2;"2021-08-21T14:00:00Z";2;0
"Crystal Palace";"Brentford";2;"2021-08-21T14:00:00Z";0;0
"Leeds";"Everton";2;"2021-08-21T14:00:00Z";2;2
"Man City";"Norwich";2;"2021-08-21T14:00:00Z";5;0
"Brighton";"Watford";2;"2021-08-21T16:30:00Z";2;0
"Southampton";"Man United";2;"2021-08-22T13:00:00Z";1;1
"Wolves";"Tottenham";2;"2021-08-22T13:00:00Z";0;1
"Arsenal";"Chelsea";2;"2021-08-22T15:30:00Z";0;2
"West Ham";"Leicester";2;"2021-08-23T19:00:00Z";4;1
"Man City";"Arsenal";3;"2021-08-28T11:30:00Z";5;0
"Aston Villa";"Brentford";3;"2021-08-28T14:00:00Z";1;1
"Brighton";"Everton";3;"2021-08-28T14:00:00Z";0;2
"Newcastle";"Southampton";3;"2021-08-28T14:00:00Z";2;2
"Norwich";"Leicester";3;"2021-08-28T14:00:00Z";1;2
"West Ham";"Crystal Palace";3;"2021-08-28T14:00:00Z";2;2
"Liverpool";"Chelsea";3;"2021-08-28T16:30:00Z";1;1
"Burnley";"Leeds";3;"2021-08-29T13:00:00Z";1;1
"Tottenham";"Watford";3;"2021-08-29T13:00:00Z";1;0
"Wolves";"Man United";3;"2021-08-29T15:30:00Z";0;1
"Crystal Palace";"Tottenham";4;"2021-09-11T11:30:00Z";3;0
"Arsenal";"Norwich";4;"2021-09-11T14:00:00Z";1;0
"Brentford";"Brighton";4;"2021-09-11T14:00:00Z";0;1
"Leicester";"Man City";4;"2021-09-11T14:00:00Z";0;1
"Man United";"Newcastle";4;"2021-09-11T14:00:00Z";4;1
"Southampton";"West Ham";4;"2021-09-11T14:00:00Z";0;0
"Watford";"Wolves";4;"2021-09-11T14:00:00Z";0;2
"Chelsea";"Aston Villa";4;"2021-09-11T16:30:00Z";3;0
"Leeds";"Liverpool";4;"2021-09-12T15:30:00Z";0;3
"Everton";"Burnley";4;"2021-09-13T19:00:00Z";3;1
"Newcastle";"Leeds";5;"2021-09-17T19:00:00Z";1;1
"Wolves";"Brentford";5;"2021-09-18T11:30:00Z";0;2
"Burnley";"Arsenal";5;"2021-09-18T14:00:00Z";0;1
"Liverpool";"Crystal Palace";5;"2021-09-18T14:00:00Z";3;0
"Man City";"Southampton";5;"2021-09-18T14:00:00Z";0;0
"Norwich";"Watford";5;"2021-09-18T14:00:00Z";1;3
"Aston Villa";"Everton";5;"2021-09-18T16:30:00Z";3;0
"Brighton";"Leicester";5;"2021-09-19T13:00:00Z";2;1
"West Ham";"Man United";5;"2021-09-19T13:00:00Z";1;2
"Tottenham";"Chelsea";5;"2021-09-19T15:30:00Z";0;3
"Chelsea";"Man City";6;"2021-09-25T11:30:00Z";0;1
"Man United";"Aston Villa";6;"2021-09-25T11:30:00Z";0;1
"Everton";"Norwich";6;"2021-09-25T14:00:00Z";2;0
"Leeds";"West Ham";6;"2021-09-25T14:00:00Z";1;2
"Leicester";"Burnley";6;"2021-09-25T14:00:00Z";2;2
"Watford";"Newcastle";6;"2021-09-25T14:00:00Z";1;1
"Brentford";"Liverpool";6;"2021-09-25T16:30:00Z";3;3
"Southampton";"Wolves";6;"2021-09-26T13:00:00Z";0;1
"Arsenal";"Tottenham";6;"2021-09-26T15:30:00Z";3;1
"Crystal Palace";"Brighton";6;"2021-09-27T19:00:00Z";1;1
"Man United";"Everton";7;"2021-10-02T11:30:00Z";1;1
"Burnley";"Norwich";7;"2021-10-02T14:00:00Z";0;0
"Chelsea";"Southampton";7;"2021-10-02T14:00:00Z";3;1
"Leeds";"Watford";7;"2021-10-02T14:00:00Z";1;0
"Wolves";"Newcastle";7;"2021-10-02T14:00:00Z";2;1
"Brighton";"Arsenal";7;"2021-10-02T16:30:00Z";0;0
"Crystal Palace";"Leicester";7;"2021-10-03T13:00:00Z";2;2
"Tottenham";"Aston Villa";7;"2021-10-03T13:00:00Z";2;1
"West Ham";"Brentford";7;"2021-10-03T13:00:00Z";1;2
"Liverpool";"Man City";7;"2021-10-03T15:30:00Z";2;2
"Watford";"Liverpool";8;"2021-10-16T11:30:00Z";0;5
"Aston Villa";"Wolves";8;"2021-10-16T14:00:00Z";2;3
"Leicester";"Man United";8;"2021-10-16T14:00:00Z";4;2
"Man City";"Burnley";8;"2021-10-16T14:00:00Z";2;0
"Norwich";"Brighton";8;"2021-10-16T14:00:00Z";0;0
"Southampton";"Leeds";8;"2021-10-16T14:00:00Z";1;0
"Brentford";"Chelsea";8;"2021-10-16T16:30:00Z";0;1
"Everton";"West Ham";8;"2021-10-17T13:00:00Z";0;1
"Newcastle";"Tottenham";8;"2021-10-17T15:30:00Z";2;3
"Arsenal";"Crystal Palace";8;"2021-10-18T19:00:00Z";2;2
"Arsenal";"Aston Villa";9;"2021-10-22T19:00:00Z";3;1
"Chelsea";"Norwich";9;"2021-10-23T11:30:00Z";7;0
"Crystal Palace";"Newcastle";9;"2021-10-23T14:00:00Z";1;1
"Everton";"Watford";9;"2021-10-23T14:00:00Z";2;5
"Leeds";"Wolves";9;"2021-10-23T14:00:00Z";1;1
"Southampton";"Burnley";9;"2021-10-23T14:00:00Z";2;2
"Brighton";"Man City";9;"2021-10-23T16:30:00Z";1;4
"Brentford";"Leicester";9;"2021-10-24T13:00:00Z";1;2
"West Ham";"Tottenham";9;"2021-10-24T13:00:00Z";1;0
"Man United";"Liverpool";9;"2021-10-24T15:30:00Z";0;5
"Leicester";"Arsenal";10;"2021-10-30T11:30:00Z";0;2
"Burnley";"Brentford";10;"2021-10-30T14:00:00Z";3;1
"Liverpool";"Brighton";10;"2021-10-30T14:00:00Z";2;2
"Man City";"Crystal Palace";10;"2021-10-30T14:00:00Z";0;2
"Newcastle";"Chelsea";10;"2021-10-30T14:00:00Z";0;3
"Watford";"Southampton";10;"2021-10-30T14:00:00Z";0;1
"Tottenham";"Man United";10;"2021-10-30T16:30:00Z";0;3
"Norwich";"Leeds";10;"2021-10-31T14:00:00Z";1;2
"Aston Villa";"West Ham";10;"2021-10-31T16:30:00Z";1;4
"Wolves";"Everton";10;"2021-11-01T20:00:00Z";2;1
"Southampton";"Aston Villa";11;"2021-11-05T20:00:00Z";1;0
"Man United";"Man City";11;"2021-11-06T12:30:00Z";0;2
"Brentford";"Norwich";11;"2021-11-06T15:00:00Z";1;2
"Chelsea";"Burnley";11;"2021-11-06T15:00:00Z";1;1
"Crystal Palace";"Wolves";11;"2021-11-06T15:00:00Z";2;0
"Brighton";"Newcastle";11;"2021-11-06T17:30:00Z";1;1
"Arsenal";"Watford";11;"2021-11-07T14:00:00Z";1;0
"Everton";"Tottenham";11;"2021-11-07T14:00:00Z";0;0
"Leeds";"Leicester";11;"2021-11-07T14:00:00Z";1;1
"West Ham";"Liverpool";11;"2021-11-07T16:30:00Z";3;2
"Leicester";"Chelsea";12;"2021-11-20T12:30:00Z";0;3
"Aston Villa";"Brighton";12;"2021-11-20T15:00:00Z";2;0
"Burnley";"Crystal Palace";12;"2021-11-20T15:00:00Z";3;3
"Newcastle";"Brentford";12;"2021-11-20T15:00:00Z";3;3
"Norwich";"Southampton";12;"2021-11-20T15:00:00Z";2;1
"Watford";"Man United";12;"2021-11-20T15:00:00Z";4;1
"Wolves";"West Ham";12;"2021-11-20T15:00:00Z";1;0
"Liverpool";"Arsenal";12;"2021-11-20T17:30:00Z";4;0
"Man City";"Everton";12;"2021-11-21T14:00:00Z";3;0
"Tottenham";"Leeds";12;"2021-11-21T16:30:00Z";2;1
"Arsenal";"Newcastle";13;"2021-11-27T12:30:00Z";2;0
"Crystal Palace";"Aston Villa";13;"2021-11-27T15:00:00Z";1;2
"Liverpool";"Southampton";13;"2021-11-27T15:00:00Z";4;0
"Norwich";"Wolves";13;"2021-11-27T15:00:00Z";0;0
"Brighton";"Leeds";13;"2021-11-27T17:30:00Z";0;0
"Brentford";"Everton";13;"2021-11-28T14:00:00Z";1;0
"Leicester";"Watford";13;"2021-11-28T14:00:00Z";4;2
"Man City";"West Ham";13;"2021-11-28T14:00:00Z";2;1
"Chelsea";"Man United";13;"2021-11-28T16:30:00Z";1;1
"Newcastle";"Norwich";14;"2021-11-30T19:30:00Z";1;1
"Leeds";"Crystal Palace";14;"2021-11-30T20:15:00Z";1;0
"Southampton";"Leicester";14;"2021-12-01T19:30:00Z";2;2
"Watford";"Chelsea";14;"2021-12-01T19:30:00Z";1;2
"West Ham";"Brighton";14;"2021-12-01T19:30:00Z";1;1
"Wolves";"Burnley";14;"2021-12-01T19:30:00Z";0;0
"Aston Villa";"Man City";14;"2021-12-01T20:15:00Z";1;2
"Everton";"Liverpool";14;"2021-12-01T20:15:00Z";1;4
"Tottenham";"Brentford";14;"2021-12-02T19:30:00Z";2;0
"Man United";"Arsenal";14;"2021-12-02T20:15:00Z";3;2
"West Ham";"Chelsea";15;"2021-12-04T12:30:00Z";3;2
"Newcastle";"Burnley";15;"2021-12-04T15:00:00Z";1;0
"Southampton";"Brighton";15;"2021-12-04T15:00:00Z";1;1
"Wolves";"Liverpool";15;"2021-12-04T15:00:00Z";0;1
"Watford";"Man City";15;"2021-12-04T17:30:00Z";1;3
