"team";"opponents";"round";"kickoff_time";"team_h_score";"team_a_score"
"Leeds";"Brentford";15;"2021-12-05T14:00:00Z";2;2
"Man United";"Crystal Palace";15;"2021-12-05T14:00:00Z";1;0
"Tottenham";"Norwich";15;"2021-12-05T14:00:00Z";3;0
"Aston Villa";"Leicester";15;"2021-12-05T16:30:00Z";2;1
"Everton";"Arsenal";15;"2021-12-06T20:00:00Z";2;1
"Brentford";"Watford";16;"2021-12-10T20:00:00Z";2;1
"Man City";"Wolves";16;"2021-12-11T12:30:00Z";1;0
"Arsenal";"Southampton";16;"2021-12-11T15:00:00Z";3;0
"Chelsea";"Leeds";16;"2021-12-11T15:00:00Z";3;2
"Liverpool";"Aston Villa";16;"2021-12-11T15:00:00Z";1;0
"Norwich";"Man United";16;"2021-12-11T17:30:00Z";0;1
"Burnley";"West Ham";16;"2021-12-12T14:00:00Z";0;0
"Leicester";"Newcastle";16;"2021-12-12T14:00:00Z";4;0
"Crystal Palace";"Everton";16;"2021-12-12T16:30:00Z";3;1
"Norwich";"Aston Villa";17;"2021-12-14T19:45:00Z";0;2
"Man City";"Leeds";17;"2021-12-14T20:00:00Z";7;0
"Brighton";"Wolves";17;"2021-12-15T19:30:00Z";0;1
"Crystal Palace";"Southampton";17;"2021-12-15T19:30:00Z";2;2
"Arsenal";"West Ham";17;"2021-12-15T20:00:00Z";2;0
"Chelsea";"Everton";17;"2021-12-16T19:45:00Z";1;1
"Liverpool";"Newcastle";17;"2021-12-16T20:00:00Z";3;1
"Leeds";"Arsenal";18;"2021-12-18T17:30:00Z";1;4
"Newcastle";"Man City";18;"2021-12-19T14:00:00Z";0;4
"Wolves";"Chelsea";18;"2021-12-19T14:00:00Z";0;0
"Tottenham";"Liverpool";18;"2021-12-19T16:30:00Z";2;2
"Man City";"Leicester";19;"2021-12-26T15:00:00Z";6;3
"Norwich";"Arsenal";19;"2021-12-26T15:00:00Z";0;5
"Tottenham";"Crystal Palace";19;"2021-12-26T15:00:00Z";3;0
"West Ham";"Southampton";19;"2021-12-26T15:00:00Z";2;3
"Aston Villa";"Chelsea";19;"2021-12-26T17:30:00Z";1;3
"Brighton";"Brentford";19;"2021-12-26T20:00:00Z";2;0
"Newcastle";"Man United";19;"2021-12-27T20:00:00Z";1;1
"Crystal Palace";"Norwich";20;"2021-12-28T15:00:00Z";3;0
"Southampton";"Tottenham";20;"2021-12-28T15:00:00Z";1;1
"Watford";"West Ham";20;"2021-12-28T15:00:00Z";1;4
"Leicester";"Liverpool";20;"2021-12-28T20:00:00Z";1;0
"Chelsea";"Brighton";20;"2021-12-29T19:30:00Z";1;1
"Brentford";"Man City";20;"2021-12-29T20:15:00Z";0;1
"Man United";"Burnley";20;"2021-12-30T20:15:00Z";3;1
"Arsenal";"Man City";21;"2022-01-01T12:30:00Z";1;2
"Watford";"Tottenham";21;"2022-01-01T15:00:00Z";0;1
"Crystal Palace";"West Ham";21;"2022-01-01T17:30:00Z";2;3
"Brentford";"Aston Villa";21;"2022-01-02T14:00:00Z";2;1
"Everton";"Brighton";21;"2022-01-02T14:00:00Z";2;3
"Leeds";"Burnley";21;"2022-01-02T14:00:00Z";3;1
"Chelsea";"Liverpool";21;"2022-01-02T16:30:00Z";2;2
"Man United";"Wolves";21;"2022-01-03T17:30:00Z";0;1
"Southampton";"Brentford";21;"2022-01-11T19:45:00Z";4;1
"West Ham";"Norwich";21;"2022-01-12T19:45:00Z";2;0
"Brighton";"Crystal Palace";22;"2022-01-14T20:00:00Z";1;1
"Man City";"Chelsea";22;"2022-01-15T12:30:00Z";1;0
"Newcastle";"Watford";22;"2022-01-15T15:00:00Z";1;1
"Norwich";"Everton";22;"2022-01-15T15:00:00Z";2;1
"Wolves";"Southampton";22;"2022-01-15T15:00:00Z";3;1
"Aston Villa";"Man United";22;"2022-01-15T17:30:00Z";2;2
"Liverpool";"Brentford";22;"2022-01-16T14:00:00Z";3;0
"West Ham";"Leeds";22;"2022-01-16T14:00:00Z";2;3
"Brighton";"Chelsea";22;"2022-01-18T20:00:00Z";1;1
"Leicester";"Tottenham";22;"2022-01-19T19:30:00Z";2;3
"Brentford";"Man United";22;"2022-01-19T20:00:00Z";1;3
"Watford";"Norwich";23;"2022-01-21T20:00:00Z";0;3
"Everton";"Aston Villa";23;"2022-01-22T12:30:00Z";0;1
"Brentford";"Wolves";23;"2022-01-22T15:00:00Z";1;2
"Leeds";"Newcastle";23;"2022-01-22T15:00:00Z";0;1
"Man United";"West Ham";23;"2022-01-22T15:00:00Z";1;0
"Southampton";"Man City";23;"2022-01-22T17:30:00Z";1;1
"Arsenal";"Burnley";23;"2022-01-23T14:00:00Z";0;0
"Crystal Palace";"Liverpool";23;"2022-01-23T14:00:00Z";1;3
"Leicester";"Brighton";23;"2022-01-23T14:00:00Z";1;1
"Chelsea";"Tottenham";23;"2022-01-23T16:30:00Z";2;0
"Burnley";"Watford";23;"2022-02-05T18:00:00Z";0;0
"Newcastle";"Everton";24;"2022-02-08T19:45:00Z";3;1
"West Ham";"Watford";24;"2022-02-08T19:45:00Z";1;0
"Burnley";"Man United";24;"2022-02-08T20:00:00Z";1;1
"Man City";"Brentford";24;"2022-02-09T19:45:00Z";2;0
"Norwich";"Crystal Palace";24;"2022-02-09T19:45:00Z";1;1
"Tottenham";"Southampton";24;"2022-02-09T19:45:00Z";2;3
"Aston Villa";"Leeds";24;"2022-02-09T20:00:00Z";3;3
"Liverpool";"Leicester";24;"2022-02-10T19:45:00Z";2;0
"Wolves";"Arsenal";24;"2022-02-10T19:45:00Z";0;1
"Man United";"Southampton";25;"2022-02-12T12:30:00Z";1;1
"Brentford";"Crystal Palace";25;"2022-02-12T15:00:00Z";0;0
"Everton";"Leeds";25;"2022-02-12T15:00:00Z";3;0
"Watford";"Brighton";25;"2022-02-12T15:00:00Z";0;2
"Norwich";"Man City";25;"2022-02-12T17:30:00Z";0;4
"Burnley";"Liverpool";25;"2022-02-13T14:00:00Z";0;1
"Newcastle";"Aston Villa";25;"2022-02-13T14:00:00Z";1;0
"Tottenham";"Wolves";25;"2022-02-13T14:00:00Z";0;2
"Leicester";"West Ham";25;"2022-02-13T16:30:00Z";2;2
"Man United";"Brighton";25;"2022-02-15T20:15:00Z";2;0
"West Ham";"Newcastle";26;"2022-02-19T12:30:00Z";1;1
"Arsenal";"Brentford";26;"2022-02-19T15:00:00Z";2;1
"Aston Villa";"Watford";26;"2022-02-19T15:00:00Z";0;1
"Brighton";"Burnley";26;"2022-02-19T15:00:00Z";0;3
"Crystal Palace";"Chelsea";26;"2022-02-19T15:00:00Z";0;1
"Liverpool";"Norwich";26;"2022-02-19T15:00:00Z";3;1
"Southampton";"Everton";26;"2022-02-19T15:00:00Z";2;0
"Man City";"Tottenham";26;"2022-02-19T17:30:00Z";2;3
"Leeds";"Man United";26;"2022-02-20T14:00:00Z";2;4
"Wolves";"Leicester";26;"2022-02-20T16:30:00Z";2;1
"Burnley";"Tottenham";26;"2022-02-23T19:30:00Z";1;0
"Watford";"Crystal Palace";26;"2022-02-23T19:30:00Z";1;4
"Liverpool";"Leeds";26;"2022-02-23T19:45:00Z";6;0
"Arsenal";"Wolves";26;"2022-02-24T19:45:00Z";2;1
"Southampton";"Norwich";27;"2022-02-25T20:00:00Z";2;0
"Leeds";"Tottenham";27;"2022-02-26T12:30:00Z";0;4
"Brentford";"Newcastle";27;"2022-02-26T15:00:00Z";0;2
"Crystal Palace";"Burnley";27;"2022-02-26T15:00:00Z";1;1
"Man United";"Watford";27;"2022-02-26T15:00:00Z";0;0
"Brighton";"Aston Villa";27;"2022-02-26T15:30:00Z";0;2
"Everton";"Man City";27;"2022-02-26T17:30:00Z";0;1
"West Ham";"Wolves";27;"2022-02-27T14:00:00Z";1;0
"Burnley";"Leicester";27;"2022-03-01T19:45:00Z";0;2
"Leicester";"Leeds";28;"2022-03-05T12:30:00Z";1;0
"Aston Villa";"Southampton";28;"2022-03-05T15:00:00Z";4;0
"Burnley";"Chelsea";28;"2022-03-05T15:00:00Z";0;4
"Newcastle";"Brighton";28;"2022-03-05T15:00:00Z";2;1
"Norwich";"Brentford";28;"2022-03-05T15:00:00Z";1;3
"Wolves";"Crystal Palace";28;"2022-03-05T15:00:00Z";0;2
"Liverpool";"West Ham";28;"2022-03-05T17:30:00Z";1;0
"Watford";"Arsenal";28;"2022-03-06T14:00:00Z";2;3
"Man City";"Man United";28;"2022-03-06T16:30:00Z";4;1
"Tottenham";"Everton";28;"2022-03-07T20:00:00Z";5;0
"Norwich";"Chelsea";28;"2022-03-10T19:30:00Z";1;3
"Southampton";"Newcastle";28;"2022-03-10T19:30:00Z";1;2
"Wolves";"Watford";28;"2022-03-10T19:30:00Z";4;0
"Leeds";"Aston Villa";28;"2022-03-10T19:45:00Z";0;3
"Brighton";"Liverpool";29;"2022-03-12T12:30:00Z";0;2
"Brentford";"Burnley";29;"2022-03-12T15:00:00Z";2;0
"Man United";"Tottenham";29;"2022-03-12T17:30:00Z";3;2
"Chelsea";"Newcastle";29;"2022-03-13T14:00:00Z";1;0
"Everton";"Wolves";29;"2022-03-13T14:00:00Z";0;1
"Leeds";"Norwich";29;"2022-03-13T14:00:00Z";2;1
"Southampton";"Watford";29;"2022-03-13T14:00:00Z";1;2
"West Ham";"Aston Villa";29;"2022-03-13T14:00:00Z";2;1
"Arsenal";"Leicester";29;"2022-03-13T16:30:00Z";2;0
"Crystal Palace";"Man City";29;"2022-03-14T20:00:00Z";0;0
"Brighton";"Tottenham";29;"2022-03-16T19:30:00Z";0;2
"Arsenal";"Liverpool";29;"2022-03-16T20:15:00Z";0;2
"Everton";"Newcastle";29;"2022-03-17T19:45:00Z";1;0
"Wolves";"Leeds";30;"2022-03-18T20:00:00Z";2;3
"Aston Villa";"Arsenal";30;"2022-03-19T12:30:00Z";0;1
"Leicester";"Brentford";30;"2022-03-20T14:00:00Z";2;1
"Tottenham";"West Ham";30;"2022-03-20T16:30:00Z";3;1
