"team";"opponents";"round";"kickoff_time";"team_h_score";"team_a_score"
"Brighton";"Liverpool";10;"2020-11-28T12:30:00Z";1;1
"Man City";"Burnley";10;"2020-11-28T15:00:00Z";5;0
"Everton";"Leeds";10;"2020-11-28T17:30:00Z";0;1
"West Bromwich";"Sheffield Utd";10;"2020-11-28T20:00:00Z";1;0
"Southampton";"Man United";10;"2020-11-29T14:00:00Z";2;3
"Chelsea";"Tottenham";10;"2020-11-29T16:30:00Z";0;0
"Arsenal";"Wolves";10;"2020-11-29T19:15:00Z";1;2
"Leicester";"Fulham";10;"2020-11-30T17:30:00Z";1;2
"West Ham";"Aston Villa";10;"2020-11-30T20:00:00Z";2;1
"Burnley";"Everton";11;"2020-12-05T12:30:00Z";1;1
"Man City";"Fulham";11;"2020-12-05T15:00:00Z";2;0
"West Ham";"Man United";11;"2020-12-05T17:30:00Z";1;3
"Chelsea";"Leeds";11;"2020-12-05T20:00:00Z";3;1
"West Bromwich";"Crystal Palace";11;"2020-12-06T12:00:00Z";1;5
"Sheffield Utd";"Leicester";11;"2020-12-06T14:15:00Z";1;2
"Tottenham";"Arsenal";11;"2020-12-06T16:30:00Z";2;0
"Liverpool";"Wolves";11;"2020-12-06T19:15:00Z";4;0
"Brighton";"Southampton";11;"2020-12-07T20:00:00Z";1;2
"Leeds";"West Ham";12;"2020-12-11T20:00:00Z";1;2
"Wolves";"Aston Villa";12;"2020-12-12T12:30:00Z";0;1
"Newcastle";"West Bromwich";12;"2020-12-12T15:00:00Z";2;1
"Man United";"Man City";12;"2020-12-12T17:30:00Z";0;0
"Everton";"Chelsea";12;"2020-12-12T20:00:00Z";1;0
"Southampton";"Sheffield Utd";12;"2020-12-13T12:00:00Z";3;0
"Crystal Palace";"Tottenham";12;"2020-12-13T14:15:00Z";1;1
"Fulham";"Liverpool";12;"2020-12-13T16:30:00Z";1;1
"Arsenal";"Burnley";12;"2020-12-13T19:15:00Z";0;1
"Leicester";"Brighton";12;"2020-12-13T19:15:00Z";3;0
"Wolves";"Chelsea";13;"2020-12-15T18:00:00Z";2;1
"Man City";"West Bromwich";13;"2020-12-15T20:00:00Z";1;1
"Arsenal";"Southampton";13;"2020-12-16T18:00:00Z";1;1
"Leeds";"Newcastle";13;"2020-12-16T18:00:00Z";5;2
"Leicester";"Everton";13;"2020-12-16T18:00:00Z";0;2
"Fulham";"Brighton";13;"2020-12-16T20:00:00Z";0;0
"Liverpool";"Tottenham";13;"2020-12-16T20:00:00Z";2;1
"West Ham";"Crystal Palace";13;"2020-12-16T20:00:00Z";1;1
"Aston Villa";"Burnley";13;"2020-12-17T18:00:00Z";0;0
"Sheffield Utd";"Man United";13;"2020-12-17T20:00:00Z";2;3
"Crystal Palace";"Liverpool";14;"2020-12-19T12:30:00Z";0;7
"Southampton";"Man City";14;"2020-12-19T15:00:00Z";0;1
"Everton";"Arsenal";14;"2020-12-19T17:30:00Z";2;1
"Newcastle";"Fulham";14;"2020-12-19T20:00:00Z";1;1
"Brighton";"Sheffield Utd";14;"2020-12-20T12:00:00Z";1;1
"Tottenham";"Leicester";14;"2020-12-20T14:15:00Z";0;2
"Man United";"Leeds";14;"2020-12-20T16:30:00Z";6;2
"West Bromwich";"Aston Villa";14;"2020-12-20T19:15:00Z";0;3
"Burnley";"Wolves";14;"2020-12-21T17:30:00Z";2;1
"Chelsea";"West Ham";14;"2020-12-21T20:00:00Z";3;0
"Leicester";"Man United";15;"2020-12-26T12:30:00Z";2;2
"Aston Villa";"Crystal Palace";15;"2020-12-26T15:00:00Z";3;0
"Fulham";"Southampton";15;"2020-12-26T15:00:00Z";0;0
"Arsenal";"Chelsea";15;"2020-12-26T17:30:00Z";3;1
"Man City";"Newcastle";15;"2020-12-26T20:00:00Z";2;0
"Sheffield Utd";"Everton";15;"2020-12-26T20:00:00Z";0;1
"Leeds";"Burnley";15;"2020-12-27T12:00:00Z";1;0
"West Ham";"Brighton";15;"2020-12-27T14:15:00Z";2;2
"Liverpool";"West Bromwich";15;"2020-12-27T16:30:00Z";1;1
"Wolves";"Tottenham";15;"2020-12-27T19:15:00Z";1;1
"Crystal Palace";"Leicester";16;"2020-12-28T15:00:00Z";1;1
"Chelsea";"Aston Villa";16;"2020-12-28T17:30:00Z";1;1
"Brighton";"Arsenal";16;"2020-12-29T18:00:00Z";0;1
"Burnley";"Sheffield Utd";16;"2020-12-29T18:00:00Z";1;0
"Southampton";"West Ham";16;"2020-12-29T18:00:00Z";0;0
"West Bromwich";"Leeds";16;"2020-12-29T18:00:00Z";0;5
"Man United";"Wolves";16;"2020-12-29T20:00:00Z";1;0
"Newcastle";"Liverpool";16;"2020-12-30T20:00:00Z";0;0
"Everton";"West Ham";17;"2021-01-01T17:30:00Z";0;1
"Man United";"Aston Villa";17;"2021-01-01T20:00:00Z";2;1
"Tottenham";"Leeds";17;"2021-01-02T12:30:00Z";3;0
"Crystal Palace";"Sheffield Utd";17;"2021-01-02T15:00:00Z";2;0
"Brighton";"Wolves";17;"2021-01-02T17:30:00Z";3;3
"West Bromwich";"Arsenal";17;"2021-01-02T20:00:00Z";0;4
"Newcastle";"Leicester";17;"2021-01-03T14:15:00Z";1;2
"Chelsea";"Man City";17;"2021-01-03T16:30:00Z";1;3
"Southampton";"Liverpool";17;"2021-01-04T20:00:00Z";1;0
"Sheffield Utd";"Newcastle";18;"2021-01-12T18:00:00Z";1;0
"Burnley";"Man United";18;"2021-01-12T20:15:00Z";0;1
"Wolves";"Everton";18;"2021-01-12T20:15:00Z";1;2
"Man City";"Brighton";18;"2021-01-13T18:00:00Z";1;0
"Tottenham";"Fulham";18;"2021-01-13T20:15:00Z";1;1
"Arsenal";"Crystal Palace";18;"2021-01-14T20:00:00Z";0;0
"Wolves";"West Bromwich";19;"2021-01-16T12:30:00Z";2;3
"Leeds";"Brighton";19;"2021-01-16T15:00:00Z";0;1
"West Ham";"Burnley";19;"2021-01-16T15:00:00Z";1;0
"Fulham";"Chelsea";19;"2021-01-16T17:30:00Z";0;1
"Leicester";"Southampton";19;"2021-01-16T20:00:00Z";2;0
"Sheffield Utd";"Tottenham";19;"2021-01-17T14:00:00Z";1;3
"Liverpool";"Man United";19;"2021-01-17T16:30:00Z";0;0
"Man City";"Crystal Palace";19;"2021-01-17T19:15:00Z";4;0
"Arsenal";"Newcastle";19;"2021-01-18T20:00:00Z";3;0
"West Ham";"West Bromwich";19;"2021-01-19T18:00:00Z";2;1
"Leicester";"Chelsea";19;"2021-01-19T20:15:00Z";2;0
"Man City";"Aston Villa";19;"2021-01-20T18:00:00Z";2;0
"Fulham";"Man United";19;"2021-01-20T20:15:00Z";1;2
"Liverpool";"Burnley";19;"2021-01-21T20:00:00Z";0;1
"Aston Villa";"Newcastle";19;"2021-01-23T20:00:00Z";2;0
"Crystal Palace";"West Ham";20;"2021-01-26T18:00:00Z";2;3
"Newcastle";"Leeds";20;"2021-01-26T18:00:00Z";1;2
"Southampton";"Arsenal";20;"2021-01-26T20:15:00Z";1;3
"West Bromwich";"Man City";20;"2021-01-26T20:15:00Z";0;5
"Burnley";"Aston Villa";20;"2021-01-27T18:00:00Z";3;2
"Chelsea";"Wolves";20;"2021-01-27T18:00:00Z";0;0
"Brighton";"Fulham";20;"2021-01-27T19:30:00Z";0;0
"Everton";"Leicester";20;"2021-01-27T20:15:00Z";1;1
"Man United";"Sheffield Utd";20;"2021-01-27T20:15:00Z";1;2
"Tottenham";"Liverpool";20;"2021-01-28T20:00:00Z";1;3
"Everton";"Newcastle";21;"2021-01-30T12:30:00Z";0;2
"Crystal Palace";"Wolves";21;"2021-01-30T15:00:00Z";1;0
"Man City";"Sheffield Utd";21;"2021-01-30T15:00:00Z";1;0
"West Bromwich";"Fulham";21;"2021-01-30T15:00:00Z";2;2
"Arsenal";"Man United";21;"2021-01-30T17:30:00Z";0;0
"Southampton";"Aston Villa";21;"2021-01-30T20:00:00Z";0;1
"Chelsea";"Burnley";21;"2021-01-31T12:00:00Z";2;0
"Leicester";"Leeds";21;"2021-01-31T14:00:00Z";1;3
"West Ham";"Liverpool";21;"2021-01-31T16:30:00Z";1;3
"Brighton";"Tottenham";21;"2021-01-31T19:15:00Z";1;0
"Sheffield Utd";"West Bromwich";22;"2021-02-02T18:00:00Z";2;1
"Wolves";"Arsenal";22;"2021-02-02T18:00:00Z";2;1
"Man United";"Southampton";22;"2021-02-02T20:15:00Z";9;0
"Newcastle";"Crystal Palace";22;"2021-02-02T20:15:00Z";1;2
"Burnley";"Man City";22;"2021-02-03T18:00:00Z";0;2
"Fulham";"Leicester";22;"2021-02-03T18:00:00Z";0;2
"Leeds";"Everton";22;"2021-02-03T19:30:00Z";1;2
"Aston Villa";"West Ham";22;"2021-02-03T20:15:00Z";1;3
"Liverpool";"Brighton";22;"2021-02-03T20:15:00Z";0;1
"Tottenham";"Chelsea";22;"2021-02-04T20:00:00Z";0;1
"Aston Villa";"Arsenal";23;"2021-02-06T12:30:00Z";1;0
"Burnley";"Brighton";23;"2021-02-06T15:00:00Z";1;1
"Newcastle";"Southampton";23;"2021-02-06T15:00:00Z";3;2
"Fulham";"West Ham";23;"2021-02-06T17:30:00Z";0;0
"Man United";"Everton";23;"2021-02-06T20:00:00Z";3;3
"Tottenham";"West Bromwich";23;"2021-02-07T12:00:00Z";2;0
"Wolves";"Leicester";23;"2021-02-07T14:00:00Z";0;0
"Liverpool";"Man City";23;"2021-02-07T16:30:00Z";1;4
"Sheffield Utd";"Chelsea";23;"2021-02-07T19:15:00Z";1;2
