"team";"opponents";"round";"kickoff_time";"team_h_score";"team_a_score"
"Sheffield Utd";"Arsenal";9;"2019-10-21T19:00:00Z";1;0
"Southampton";"Leicester";10;"2019-10-25T19:00:00Z";0;9
"Man City";"Aston Villa";10;"2019-10-26T11:30:00Z";3;0
"West Ham";"Sheffield Utd";10;"2019-10-26T14:00:00Z";1;1
"Brighton";"Everton";10;"2019-10-26T14:00:00Z";3;2
"Watford";"Bournemouth";10;"2019-10-26T14:00:00Z";0;0
"Burnley";"Chelsea";10;"2019-10-26T16:30:00Z";2;4
"Newcastle";"Wolves";10;"2019-10-27T14:00:00Z";1;1
"Liverpool";"Tottenham";10;"2019-10-27T16:30:00Z";2;1
"Arsenal";"Crystal Palace";10;"2019-10-27T16:30:00Z";2;2
"Norwich";"Man United";10;"2019-10-27T16:30:00Z";1;3
"Bournemouth";"Man United";11;"2019-11-02T12:30:00Z";1;0
"Brighton";"Norwich";11;"2019-11-02T15:00:00Z";2;0
"Aston Villa";"Liverpool";11;"2019-11-02T15:00:00Z";1;2
"Man City";"Southampton";11;"2019-11-02T15:00:00Z";2;1
"Arsenal";"Wolves";11;"2019-11-02T15:00:00Z";1;1
"Sheffield Utd";"Burnley";11;"2019-11-02T15:00:00Z";3;0
"West Ham";"Newcastle";11;"2019-11-02T15:00:00Z";2;3
"Watford";"Chelsea";11;"2019-11-02T17:30:00Z";1;2
"Crystal Palace";"Leicester";11;"2019-11-03T14:00:00Z";0;2
"Everton";"Tottenham";11;"2019-11-03T16:30:00Z";1;1
"Norwich";"Watford";12;"2019-11-08T20:00:00Z";0;2
"Chelsea";"Crystal Palace";12;"2019-11-09T12:30:00Z";2;0
"Newcastle";"Bournemouth";12;"2019-11-09T15:00:00Z";2;1
"Tottenham";"Sheffield Utd";12;"2019-11-09T15:00:00Z";1;1
"Burnley";"West Ham";12;"2019-11-09T15:00:00Z";3;0
"Southampton";"Everton";12;"2019-11-09T15:00:00Z";1;2
"Leicester";"Arsenal";12;"2019-11-09T17:30:00Z";2;0
"Wolves";"Aston Villa";12;"2019-11-10T14:00:00Z";2;1
"Man United";"Brighton";12;"2019-11-10T14:00:00Z";3;1
"Liverpool";"Man City";12;"2019-11-10T16:30:00Z";3;1
